Campaign,ID,Type,Longitude,Latitude,PreLoggingDate,PostLoggingDate
Peru,MDD01,Database,-69.1326,-12.2578,09/11/2013,15/11/2013
Peru,MDD02,Database,-69.1326,-12.2599,11/11/2013,17/11/2013
Peru,MDD03,Database,-69.1321,-12.2606,12/11/2013,17/11/2013
Peru,MDD04,Database,-69.1317,-12.26,14/11/2013,17/11/2013
Peru,MDD05,Database,-69.1281,-12.2553,17/11/2013,19/11/2013
Peru,MDD06,Database,-69.0855,-12.277,19/11/2013,24/11/2013
Peru,MDD07,Database,-69.0817,-12.2733,22/11/2013,24/11/2013
Peru,MDD08,Database,-69.1272,-12.2554,25/11/2013,28/11/2013
Peru,MDD09,Database,-69.1236,-12.255,26/11/2013,28/11/2013
Peru,M1,GPS,-69.132552358224,-12.2626971052825,09/11/2013,15/11/2013
Peru,M2,GPS,-69.1326208092762,-12.2647982071619,11/11/2013,17/11/2013
Peru,M3,GPS,-69.1321002757841,-12.2655571594063,12/11/2013,17/11/2013
Peru,M4,GPS,-69.1317068121667,-12.2648532404375,14/11/2013,17/11/2013
Peru,M5,GPS,-69.1281044833229,-12.2603576135521,17/11/2013,19/11/2013
Peru,M6,GPS,-69.0854476683125,-12.2818373534653,19/11/2013,24/11/2013
Peru,M7,GPS,-69.0816888963438,-12.2781730703125,22/11/2013,24/11/2013
Peru,M8,GPS,-69.1270683426632,-12.2603751722292,25/11/2013,28/11/2013
Peru,M9,GPS,-69.1235891764375,-12.2598943265625,26/11/2013,28/11/2013
Peru,Gap1,GPS,-69.133523251,-12.26347297,,17/11/2013
Peru,Gap3,GPS,-69.1293474705,-12.2611232848333,,19/11/2013
Peru,gap4CR,GPS,-69.0829055103333,-12.2798499648333,,24/11/2013
Peru,Gap5CR,GPS,-69.083940354,-12.2806344975,,24/11/2013
Peru,Gap6,GPS,-69.128662669,-12.2605550615,,27/11/2013
Peru,Gap7,GPS,-69.1308923815,-12.258166638,,27/11/2013
Peru,Gap9,GPS,-69.1267257785,-12.2605828895,,28/11/2013
Guyana2014,T02,Centre,-58.69785,6.0355215,08/11/2014,13/11/2014
Guyana2014,T03,Centre,-58.6973445,6.0351545,07/11/2014,13/11/2014
Guyana2014,T04,Centre,-58.698997,6.03832,11/11/2014,16/11/2014
Guyana2014,T05,Centre,-58.6982635,6.0378205,05/11/2014,15/11/2014
Guyana2014,T06,Centre,-58.699307,6.0379685,13/11/2014,16/11/2014
Guyana2014,T07,Centre,-58.6966045,6.0356295,21/11/2014,24/11/2014
Guyana2014,T08,Centre,-58.695399,6.0348235,22/11/2014,28/11/2014
Guyana2014,T09,Centre,-58.696918,6.03905,25/11/2014,30/11/2014
Guyana2014,T10,Centre,-58.69501,6.036578,28/11/2014,30/11/2014
Guyana2017,80-1 20-1 60-1,GPS,-58.1874629998882,4.51762000003556,,18/01/2017
Guyana2017,40 3,GPS,-58.1866820000886,4.51698700037992,,18/01/2017
Guyana2017,60 3,GPS,-58.1870729999008,4.51697199993695,,18/01/2017
Guyana2017,100 3,GPS,-58.1871730003583,4.51594799966464,,18/01/2017
Guyana2017,60 4&20-3,GPS,-58.1872140003661,4.51584700007524,,18/01/2017
Guyana2017,80 3,GPS,-58.1874839998046,4.51587899968784,,18/01/2017
Guyana2017,20-4,GPS,-58.1876620000798,4.51576100003871,,18/01/2017
Guyana2017,40-4,GPS,-58.1877340000498,4.51528900034616,,18/01/2017
Guyana2017,60-5,GPS,-58.1877149997833,4.51499799966058,,18/01/2017
Guyana2017,100-4,GPS,-58.1870920001674,4.51709000028796,,18/01/2017
Guyana2017,80-4,GPS,-58.185280000323,4.5168349999634,,18/01/2017
Guyana2017,60-6 20-5 40-5 100-5 40,GPS,-58.1853210003309,4.51699899965225,,18/01/2017
Guyana2017,20-6,GPS,-58.1850679997126,4.51709100007693,,18/01/2017
Guyana2017,40-7,GPS,-58.1846199999989,4.51717200010791,,18/01/2017
Guyana2017,40-8 40-9,GPS,-58.1846159998009,4.51728399989074,,18/01/2017
Guyana2017,60-7,GPS,-58.1847649997639,4.51747100002033,,18/01/2017
Guyana2017,80-5,GPS,-58.1848459999547,4.51749399966167,,18/01/2017
Guyana2017,100-6,GPS,-58.1853609996155,4.51750800030533,,18/01/2017
Guyana2017,60-8,GPS,-58.1853890001029,4.51664699987801,,18/01/2017
Guyana2017,80-6,GPS,-58.1855630001802,4.51660399990912,,18/01/2017
Guyana2017,40-10 40-11 60-8,GPS,-58.1854090001944,4.51654700017696,,18/01/2017
Guyana2017,20-7,GPS,-58.1853310003766,4.51638499996444,,18/01/2017
Guyana2017,100-7,GPS,-58.1851370002079,4.51574499977917,,18/01/2017
Guyana2017,60-9,GPS,-58.1850500001692,4.51571099967727,,18/01/2017
Guyana2017,60-10,GPS,-58.1850369997504,4.51561499991111,,18/01/2017
Guyana2017,80-7,GPS,-58.1852950003916,4.51542000006475,,18/01/2017
Guyana2017,100-8,GPS,-58.184799999924,4.51502399965852,,18/01/2017
Guyana2017,100-9,GPS,-58.1844609999902,4.51475399991163,,18/01/2017
Guyana2017,80-8,GPS,-58.1847689999618,4.5149199996612,,18/01/2017
Guyana2017,60-11,GPS,-58.1867259995712,4.51699200022701,,20/01/2017
Guyana2017,80-9 2013 40-13 60-13,GPS,-58.2095919997825,4.56073800008275,,23/01/2017
Guyana2017,80-10 20-8,GPS,-58.2096639997525,4.56058699971552,,23/01/2017
Guyana2017,100-10,GPS,-58.209936999564,4.56086700010234,,23/01/2017
Guyana2017,100-11 20-9,GPS,-58.2090400003118,4.55980699966455,,23/01/2017
Guyana2017,60-14 20-10:12 40-14,GPS,-58.2080159999396,4.56033099990897,,23/01/2017
Guyana2017,80-11,GPS,-58.2066760000983,4.56054999986539,,23/01/2017
Guyana2017,100-12 20-14,GPS,-58.2008239997401,4.53360300036,,25/01/2017
Guyana2017,40-1 60-2 100-1,GPS,-58.18706399968,4.5177930003411,,26/01/2017
Guyana2017,40-2 80-2,GPS,-58.1866100001186,4.51838199963463,,26/01/2017
Guyana2017,100-15 80-13,GPS,-58.1832500000204,4.54096399994627,25/01/2017,28/01/2017
Guyana2017,100.13,GPS,-58.1863940002086,4.53714050036754,25/01/2017,28/01/2017
Guyana2017,80.14,GPS,-58.1831285001833,4.54108500010591,25/01/2017,28/01/2017
Guyana2017,80.15,GPS,-58.1813890002213,4.54148400019553,25/01/2017,28/01/2017
Guyana2017,100.14-80.12,GPS,-58.1861734997389,4.53756350006991,25/01/2017,28/01/2017
Guyana2017,100-15 80-13,GPS,-58.1876267501881,4.539176500003,25/01/2017,28/01/2017
